Accel_x,Accel_y,Accel_z
0.075,0.58,1.008
0.103,0.595,1.021
0.116,0.61,1.031
0.145,0.615,1.035
0.173,0.625,1.037
0.181,0.63,1.041
0.195,0.629,1.037
0.203,0.625,1.032
0.207,0.618,1.022
0.221,0.612,1.016
0.221,0.603,1.002
0.217,0.598,0.985
0.2,0.588,0.976
0.183,0.579,0.962
0.174,0.573,0.949
0.166,0.569,0.943
0.163,0.562,0.935
0.162,0.561,0.93
0.161,0.556,0.927
0.165,0.549,0.916
0.175,0.548,0.91
0.181,0.543,0.904
0.191,0.538,0.892
0.208,0.527,0.889
0.218,0.515,0.883
0.222,0.513,0.883
0.214,0.517,0.887
0.212,0.523,0.904
0.211,0.527,0.919
0.205,0.548,0.925
0.201,0.566,0.938
0.198,0.568,0.947
0.197,0.566,0.952
0.194,0.575,0.959
0.192,0.581,0.959
0.203,0.583,0.956
0.208,0.576,0.948
0.211,0.57,0.933
0.222,0.555,0.923
0.224,0.544,0.899
0.23,0.539,0.889
0.231,0.527,0.867
0.233,0.514,0.847
0.232,0.511,0.829
0.228,0.508,0.823
0.224,0.509,0.81
0.214,0.513,0.805
0.212,0.517,0.802
0.21,0.523,0.804
0.206,0.526,0.806
0.203,0.532,0.813
0.2,0.534,0.82
0.199,0.538,0.828
0.2,0.536,0.844
0.208,0.536,0.86
0.215,0.522,0.866
0.222,0.526,0.884
0.228,0.537,0.895
0.24,0.538,0.897
0.238,0.532,0.915
0.237,0.526,0.923
0.232,0.516,0.924
0.223,0.515,0.931
0.219,0.513,0.93
0.207,0.523,0.928
0.197,0.522,0.92
0.184,0.524,0.923
-0.142,1.18,0.714
-0.11,1.189,0.749
-0.105,1.205,0.758
-0.102,1.226,0.773
-0.108,1.237,0.787
-0.137,1.258,0.792
-0.154,1.265,0.802
-0.176,1.261,0.814
-0.159,1.244,0.827
-0.138,1.212,0.852
-0.091,1.187,0.863
-0.054,1.132,0.864
-0.029,1.076,0.84
-0.013,0.992,0.798
0.021,0.947,0.752
0.064,0.858,0.728
0.087,0.786,0.687
0.126,0.758,0.674
0.149,0.715,0.674
0.158,0.681,0.68
0.147,0.667,0.683
0.105,0.659,0.702
0.079,0.657,0.729
0.026,0.665,0.748
-0.023,0.66,0.799
-0.044,0.647,0.858
-0.081,0.628,0.887
-0.121,0.604,0.931
-0.132,0.586,0.958
-0.146,0.572,0.959
-0.16,0.559,0.953
-0.161,0.549,0.916
-0.146,0.546,0.871
-0.122,0.533,0.842
-0.111,0.523,0.789
-0.075,0.522,0.745
-0.03,0.527,0.732
0.008,0.536,0.712
0.024,0.556,0.714
0.049,0.565,0.72
0.088,0.584,0.744
0.107,0.597,0.783
0.15,0.619,0.807
0.184,0.64,0.859
0.198,0.656,0.908
0.208,0.665,0.93
0.203,0.682,0.965
0.197,0.689,0.992
0.189,0.688,0.996
0.187,0.683,0.993
0.187,0.662,0.975
0.191,0.645,0.965
0.185,0.614,0.941
0.182,0.594,0.92
0.169,0.59,0.911
0.154,0.577,0.891
0.148,0.567,0.869
0.148,0.548,0.86
0.15,0.538,0.853
0.154,0.537,0.851
0.147,0.538,0.85
0.147,0.534,0.857
0.153,0.532,0.865
0.159,0.53,0.87
0.162,0.539,0.887
0.165,0.543,0.903
0.177,0.548,0.913
0.19,0.541,0.928
0.221,0.534,0.937
0.249,0.523,0.952
0.257,0.515,0.961
0.266,0.502,0.963
0.263,0.504,0.961
0.244,0.507,0.958
0.221,0.519,0.958
0.207,0.529,0.954
0.186,0.534,0.951
0.175,0.545,0.95
0.17,0.548,0.942
0.165,0.551,0.935
0.167,0.553,0.92
0.173,0.552,0.901
0.184,0.547,0.887
0.196,0.547,0.858
0.203,0.547,0.83
0.216,0.539,0.818
0.229,0.528,0.796
0.232,0.522,0.779
0.234,0.516,0.771
0.237,0.512,0.764
0.239,0.512,0.76
0.237,0.511,0.763
0.24,0.512,0.77
0.25,0.514,0.779
0.256,0.513,0.786
0.255,0.515,0.798
0.247,0.519,0.812
0.233,0.521,0.817
0.231,0.525,0.825
0.228,0.524,0.829
0.223,0.523,0.83
0.218,0.524,0.834
0.212,0.523,0.837
0.209,0.512,0.838
0.207,0.502,0.833
0.198,0.496,0.83
0.198,0.487,0.827
0.2,0.486,0.821
0.202,0.488,0.822
0.204,0.493,0.823
0.204,0.503,0.821
0.204,0.507,0.825
0.209,0.505,0.831
0.213,0.512,0.836
0.225,0.521,0.838
0.229,0.527,0.851
0.228,0.529,0.862
0.232,0.531,0.881
0.242,0.541,0.888
-0.317,1.331,0.559
-0.347,1.277,0.597
-0.312,1.351,0.611
-0.231,1.381,0.639
-0.178,1.403,0.672
-0.081,1.415,0.698
-0.003,1.412,0.703
0.03,1.425,0.721
0.102,1.435,0.748
0.203,1.447,0.768
0.252,1.452,0.822
0.325,1.454,0.876
0.349,1.451,0.9
0.357,1.446,0.935
0.374,1.436,0.943
0.378,1.404,0.951
0.38,1.259,0.933
0.389,1.332,0.926
0.415,1.249,0.892
0.439,1.209,0.854
0.478,1.136,0.831
0.483,1.06,0.78
0.475,0.98,0.736
0.436,0.939,0.708
0.397,0.854,0.708
0.373,0.813,0.716
0.309,0.748,0.723
0.226,0.697,0.753
0.184,0.673,0.79
0.112,0.631,0.807
0.053,0.586,0.826
0.031,0.557,0.834
0.004,0.505,0.832
-0.003,0.461,0.819
-0.008,0.443,0.791
-0.005,0.406,0.771
0.002,0.366,0.738
0.022,0.354,0.711
0.04,0.347,0.703
0.053,0.352,0.695
0.09,0.352,0.709
0.134,0.354,0.719
0.155,0.375,0.747
0.188,0.388,0.788
0.203,0.418,0.809
0.208,0.448,0.851
0.215,0.466,0.895
0.221,0.497,0.916
0.221,0.536,0.953
0.217,0.551,0.979
0.219,0.57,0.988
0.22,0.585,0.996
0.222,0.59,0.992
0.225,0.595,0.983
0.244,0.593,0.962
0.256,0.59,0.927
0.272,0.585,0.909
0.283,0.581,0.875
0.299,0.575,0.843
0.316,0.552,0.828
0.327,0.521,0.812
0.349,0.515,0.812
0.353,0.516,0.825
0.343,0.515,0.847
0.327,0.508,0.858
0.318,0.499,0.878
0.313,0.493,0.893
0.3,0.482,0.897
0.287,0.472,0.907
0.274,0.473,0.922
0.269,0.467,0.926
0.268,0.459,0.928
0.273,0.454,0.921
0.272,0.448,0.913
0.268,0.447,0.897
0.259,0.448,0.884
0.249,0.455,0.877
0.25,0.459,0.868
0.253,0.459,0.866
0.266,0.456,0.858
0.282,0.444,0.853
0.289,0.436,0.846
0.301,0.429,0.841
0.297,0.432,0.834
0.287,0.44,0.829
0.277,0.441,0.831
0.278,0.44,0.831
0.279,0.436,0.835
0.29,0.429,0.837
0.292,0.433,0.84
0.279,0.439,0.844
0.27,0.446,0.845
0.269,0.45,0.848
0.273,0.459,0.852
0.277,0.467,0.853
0.278,0.48,0.86
0.275,0.49,0.866
0.277,0.486,0.868
0.279,0.485,0.873
0.285,0.47,0.873
0.289,0.468,0.861
0.291,0.464,0.857
0.29,0.461,0.849
0.281,0.453,0.844
0.28,0.441,0.835
0.279,0.437,0.827
0.274,0.431,0.823
0.271,0.433,0.828
0.262,0.434,0.84
0.263,0.432,0.84
0.26,0.467,0.846
0.243,0.481,0.853
0.24,0.479,0.861
0.244,0.483,0.871
0.262,0.486,0.875
0.27,0.503,0.887
0.274,0.508,0.891
0.288,0.5,0.891
0.31,0.5,0.892
-0.024,1.117,1.35
0.084,1.266,1.668
0.403,1.608,1.839
0.281,1.144,1.742
0.199,0.852,1.408
-0.017,0.38,1.206
-0.151,0.355,0.924
-0.191,0.546,0.894
-0.812,1.424,1.275
0.512,0.067,1.345
0.028,0.807,1.098
0.086,0.449,0.96
0.036,0.416,0.934
0.096,0.4,1.04
0.029,0.446,1.023
0.008,0.405,0.994
-0.049,0.41,1.029
-0.073,0.436,1.059
-0.041,0.378,1.047
-0.047,0.355,1.011
0.01,0.345,0.995
0.077,0.333,0.996
0.082,0.333,0.976
0.084,0.345,0.977
0.047,0.34,0.968
0.036,0.339,0.976
0.034,0.328,0.991
0.025,0.357,0.996
0.022,0.355,0.996
0.068,0.336,0.995
0.089,0.349,1.037
0.118,0.633,1.455
0.194,0.516,0.897
0.05,0.305,0.99
0.065,0.337,1.011
0.021,0.339,1.026
0.073,0.292,0.995
0.07,0.234,0.981
0.029,0.279,0.995
-0.02,0.29,0.989
-0.02,0.302,1.008
-0.026,0.273,1.007
-0.028,0.288,1.015
0,0.273,0.998
0.008,0.304,1.004
-0.015,0.303,0.99
0.023,0.28,0.987
0.02,0.276,0.996
0.005,0.274,0.973
0.022,0.225,0.982
0.003,0.216,0.98
-0.036,0.179,0.976
-0.049,0.169,1.017
-0.034,0.213,1.016
-0.118,0.207,0.961
-0.052,0.345,0.907
-0.024,0.35,0.789
-0.006,0.323,0.775
-0.02,0.249,0.764
0.053,0.838,0.702
0.132,0.767,0.586
0.07,0.637,0.53
-0.349,-0.523,2.484
0.135,0.008,0.041
0.418,-0.729,1.042
0.51,-0.157,0.194
0.237,-0.054,2.039
0.193,-0.194,1.097
0.213,-0.246,1.156
0.183,-0.192,1.075
-0.008,0.072,1.02
-0.059,0.153,0.596
-0.04,0.258,1.26
-0.012,0.014,1.081
-0.037,0.196,0.993
-0.006,0.044,1.058
-0.01,0.143,1.009
0.012,0.158,1.009
0.037,0.095,1.037
0.031,0.119,1.025
0.032,0.112,1.04
0.042,0.09,1.041
0.03,0.232,1.018
0.018,0.134,1.017
0.032,0.116,1.038
0.015,0.178,1.018
-0.007,0.178,1.017
0.017,0.141,1.029
0.023,0.123,1.031
0.035,0.099,1.034
0.044,0.078,1.033
0.044,0.076,1.033
0.046,0.086,1.031
0.041,0.081,1.033
0.047,0.082,1.035
0.037,0.096,1.036
0.029,0.119,1.029
0.027,0.116,1.032
0.03,0.11,1.031
0.028,0.112,1.027
0.03,0.108,1.028
0.031,0.11,1.029
0.029,0.112,1.026
0.03,0.114,1.031
0.032,0.109,1.032
0.031,0.112,1.027
0.03,0.11,1.026
0.03,0.112,1.028
0.026,0.112,1.027
0.028,0.112,1.03
0.028,0.112,1.032
0.031,0.113,1.03
0.031,0.111,1.029
0.029,0.111,1.029
0.029,0.113,1.03
0,0.17,1.026
-0.02,0.191,1.016
0.002,0.171,1.032
0.021,0.133,1.026
