Accel_x,Accel_y,Accel_z
0.329,0.734,0.749
0.278,0.68,0.712
0.239,0.631,0.646
0.15,0.61,0.589
0.055,0.574,0.566
0.009,0.536,0.527
-0.074,0.519,0.493
-0.141,0.482,0.482
-0.166,0.431,0.472
-0.193,0.407,0.493
-0.206,0.369,0.515
-0.203,0.346,0.566
-0.191,0.337,0.621
-0.175,0.317,0.653
-0.167,0.312,0.715
-0.162,0.311,0.763
-0.172,0.318,0.784
-0.182,0.331,0.827
-0.185,0.356,0.869
-0.193,0.368,0.911
-0.186,0.392,0.926
-0.173,0.415,0.956
-0.143,0.427,0.978
-0.122,0.454,0.988
-0.109,0.484,1.003
-0.102,0.62,1.009
-0.084,0.515,1.013
-0.046,0.539,1.017
-0.025,0.548,1.014
0.018,0.547,1.002
0.061,0.537,0.994
0.093,0.526,0.975
0.103,0.515,0.957
0.11,0.506,0.945
0.107,0.488,0.942
0.105,0.479,0.95
0.102,0.472,0.964
0.089,0.455,0.971
0.076,0.44,0.983
0.048,0.432,0.987
0.016,0.425,0.992
0.003,0.424,0.995
-0.013,0.421,1.121
-0.023,0.417,1.003
-0.022,0.417,1.003
-0.016,0.417,1.003
-0.01,0.42,1.001
0.007,0.422,0.999
0.023,0.432,0.999
0.031,0.429,0.996
0.044,0.43,0.991
0.054,0.427,0.981
0.059,0.418,0.97
0.07,0.414,0.963
0.077,0.411,0.949
0.079,0.41,0.936
0.077,0.412,0.93
0.081,0.408,0.919
0.081,0.407,0.915
0.074,0.402,0.914
0.061,0.399,0.907
0.056,0.398,0.899
0.046,0.398,0.892
0.046,0.404,0.888
0.051,0.406,0.879
0.049,0.416,0.874
0.049,0.426,0.874
0.048,0.433,0.874
0.056,0.439,0.872
0.071,0.448,0.874
0.079,0.459,0.88
0.091,0.462,0.889
0.102,0.465,0.893
0.108,0.469,0.903
0.123,0.473,0.907
0.135,0.48,0.915
0.139,0.484,0.921
0.142,0.489,0.924
0.138,0.493,0.929
0.135,0.499,0.93
0.123,0.502,0.931
0.115,0.503,0.935
0.111,0.506,0.94
0.103,0.508,0.941
0.092,0.508,0.948
0.084,0.511,0.948
0.075,0.512,0.946
0.069,0.515,0.942
0.063,0.516,0.935
0.061,0.513,0.93
0.063,0.508,0.922
0.069,0.503,0.916
0.079,0.496,0.913
0.082,0.489,0.905
0.087,0.483,0.89
0.09,0.48,0.881
0.09,0.466,0.87
1.09,-0.619,0.298
1.081,-0.623,0.297
1.083,-0.639,0.293
1.082,-0.661,0.284
1.082,-0.676,0.271
1.08,-0.68,0.256
1.077,-0.689,0.248
1.078,-0.7,0.233
1.078,-0.702,0.224
1.078,-0.702,0.222
1.078,-0.689,0.221
1.074,-0.651,0.224
1.064,-0.629,0.233
1.054,-0.579,0.24
1.042,-0.518,0.261
1.04,-0.479,0.311
1.054,-0.397,0.34
1.081,-0.337,0.403
