Accel_x,Accel_y,Accel_z
0.591,-0.731,-0.168
0.589,-0.725,-0.177
0.577,-0.718,-0.191
0.564,-0.707,-0.198
0.549,-0.699,-0.209
0.539,-0.691,-0.225
0.52,-0.687,-0.251
0.499,-0.676,-0.269
-0.191,-0.384,-1.614
-0.205,-0.447,-1.665
-0.24,-0.461,-1.678
-0.285,-0.456,-1.648
-0.326,-0.429,-1.617
-0.366,-0.374,-1.563
-0.366,-0.189,-1.355
-0.343,-0.214,-1.232
-0.286,-0.167,-1.159
-0.205,-0.131,-1.001
-0.167,-0.111,-0.91
-0.086,-0.098,-0.809
-0.005,-0.103,-0.753
0.067,-0.129,-0.635
0.098,-0.163,-0.526
0.149,-0.189,-0.417
0.187,-0.261,-0.361
0.218,-0.344,-0.264
0.236,-0.415,-0.201
0.267,-0.44,-0.16
0.305,-0.479,-0.149
0.317,-0.54,-0.178
0.317,-0.6,-0.247
0.314,-0.618,-0.245
0.326,-0.636,-0.222
0.331,-0.643,-0.168
0.332,-0.636,-0.111
0.337,-0.634,-0.079
0.346,-0.641,-0.02
0.347,-0.662,0.03
0.332,-0.675,0.057
0.313,-0.707,0.071
0.301,-0.728,0.088
0.305,-0.735,0.1
0.32,-0.746,0.119
0.338,-0.743,0.128
0.352,-0.742,0.148
0.395,-0.744,0.173
0.445,-0.756,0.185
0.497,-0.771,0.223
0.52,-0.773,0.25
0.573,-0.774,0.26
0.616,-0.777,0.271
0.628,-0.786,0.268
0.643,-0.791,0.25
0.662,-0.798,0.235
0.66,-0.811,0.193
0.646,-0.815,0.147
0.615,-0.826,0.123
0.58,-0.827,0.084
0.563,-0.828,0.06
0.545,-0.831,0.056
0.537,-0.829,0.042
0.519,-0.831,0.021
0.494,-0.831,0.008
0.485,-0.834,-0.011
0.477,-0.833,-0.032
0.473,-0.829,-0.043
0.472,-0.835,-0.076
0.469,-0.847,-0.111
0.464,-0.854,-0.146
0.475,-0.867,-0.16
0.495,-0.874,-0.178
0.502,-0.881,-0.185
0.518,-0.895,-0.183
0.538,-0.898,-0.168
0.549,-0.897,-0.142
0.572,-0.896,-0.118
0.582,-0.894,-0.108
0.595,-0.891,-0.087
0.602,-0.884,-0.066
0.615,-0.884,-0.054
0.622,-0.88,-0.051
0.623,-0.88,-0.051
0.622,-0.873,-0.056
0.613,-0.868,-0.059
0.61,-0.861,-0.06
0.606,-0.857,-0.063
0.603,-0.855,-0.062
0.599,-0.852,-0.068
0.586,-0.847,-0.073
0.569,-0.845,-0.079
0.557,-0.846,-0.086
0.552,-0.847,-0.087
0.553,-0.848,-0.086
0.553,-0.85,-0.086
0.559,-0.852,-0.088
0.561,-0.856,-0.086
0.565,-0.858,-0.072
0.576,-0.863,-0.063
0.598,-0.865,-0.058
0.61,-0.873,-0.061
0.613,-0.875,-0.068
0.606,-0.881,-0.073
0.599,-0.876,-0.079
0.595,-0.873,-0.086
0.586,-0.868,-0.089
0.579,-0.865,-0.092
0.572,-0.862,-0.089
0.57,-0.859,-0.08
0.567,-0.857,-0.07
0.568,-0.853,-0.064
0.576,-0.843,-0.047
0.579,-0.834,-0.023
0.596,-0.829,0
0.615,-0.825,0.012
0.634,-0.819,0.027
0.641,-0.814,0.03
0.649,-0.812,0.03
0.646,-0.805,0.027
0.641,-0.795,0.021
0.629,-0.785,0.013
0.622,-0.771,0.011
0.622,-0.759,0.013
0.615,-0.752,0.007
0.607,-0.732,0.002
0.598,-0.717,-0.013
0.585,-0.702,-0.033
0.578,-0.693,-0.064
-0.124,-0.213,-1.718
-0.142,-0.161,-1.684
-0.172,-0.134,-1.598
-0.218,-0.096,-1.547
-0.286,-0.09,-1.455
-0.325,-0.085,-1.359
-0.391,-0.095,-1.23
-0.424,-0.115,-1.075
-0.402,-0.11,-1.002
-0.322,-0.098,-0.841
-0.259,-0.077,-0.687
-0.11,-0.079,-0.494
0.017,-0.163,-0.41
0.079,-0.325,-0.37
0.104,-0.466,-0.326
0.118,-0.571,-0.333
0.122,-0.618,-0.348
0.111,-0.696,-0.349
0.101,-0.745,-0.375
0.102,-0.768,-0.399
0.134,-0.769,-0.395
0.172,-0.772,-0.371
0.206,-0.751,-0.367
0.224,-0.734,-0.379
0.254,-0.73,-0.391
0.266,-0.729,-0.381
0.28,-0.761,-0.362
0.286,-0.738,-0.301
0.309,-0.743,-0.239
0.328,-0.752,-0.188
0.34,-0.758,-0.17
0.357,-0.755,-0.136
0.369,-0.763,-0.119
0.388,-0.77,-0.123
0.404,-0.781,-0.137
0.415,-0.793,-0.172
0.42,-0.793,-0.207
0.418,-0.793,-0.241
0.415,-0.796,-0.254
0.42,-0.797,-0.275
0.427,-0.795,-0.289
0.43,-0.793,-0.295
0.419,-0.794,-0.295
0.41,-0.797,-0.302
0.39,-0.798,-0.296
0.375,-0.789,-0.282
0.369,-0.797,-0.254
0.369,-0.795,-0.228
0.379,-0.793,-0.199
0.394,-0.798,-0.187
0.4,-0.806,-0.172
0.404,-0.807,-0.169
0.418,-0.808,-0.171
0.436,-0.811,-0.174
0.445,-0.812,-0.183
0.447,-0.814,-0.203
0.447,-0.816,-0.211
0.447,-0.815,-0.223
0.447,-0.817,-0.227
0.448,-0.815,-0.225
0.444,-0.815,-0.223
0.432,-0.812,-0.214
0.428,-0.81,-0.2
0.417,-0.809,-0.188
0.408,-0.806,-0.183
0.406,-0.801,-0.175
0.404,-0.801,-0.171
0.401,-0.801,-0.183
0.392,-0.8,-0.192
0.388,-0.802,-0.218
0.386,-0.802,-0.244
0.382,-0.801,-0.265
0.38,-0.798,-0.275
0.385,-0.803,-0.292
0.389,-0.806,-0.302
0.4,-0.808,-0.31
0.403,-0.815,-0.313
0.407,-0.816,-0.318
0.407,-0.819,-0.328
0.41,-0.821,-0.342
0.407,-0.826,-0.348
0.404,-0.83,-0.359
0.4,-0.832,-0.369
0.393,-0.834,-0.374
0.388,-0.834,-0.375
0.389,-0.838,-0.373
0.387,-0.84,-0.364
0.388,-0.841,-0.362
0.391,-0.845,-0.359
0.393,-0.845,-0.35
0.394,-0.841,-0.346
0.397,-0.841,-0.338
0.4,-0.844,-0.335
0.405,-0.848,-0.33
0.408,-0.846,-0.327
