DateTime,BatteryV,Microphone,TempC,AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
2/5/2025 2:03,4.06,-6,26.05,-0.0176,-0.0229,1.0341,0.21,-2.38,-0.84
2/5/2025 2:03,4.07,12,26.06,-0.0234,-0.0224,1.0341,-0.21,-2.45,-0.77
2/5/2025 2:03,4.09,-4,26.02,-0.0215,-0.0229,1.035,0.07,-2.31,-0.84
2/5/2025 2:03,4.08,-13,26.04,-0.0195,-0.0244,1.036,-0.07,-2.31,-0.91
2/5/2025 2:03,4.08,7,26.05,-0.021,-0.0229,1.0341,0,-2.31,-0.91
2/5/2025 2:03,4.09,9,26.08,-0.022,-0.0234,1.036,0.42,-2.45,-0.7
2/5/2025 2:03,4.08,5,26.04,-0.0181,-0.0249,1.0346,0.28,-2.31,-0.84
2/5/2025 2:03,4.09,5,26.06,-0.02,-0.022,1.0326,0.28,-2.38,-0.84
2/5/2025 2:03,4.09,-3,26.04,-0.0215,-0.0234,1.0346,0.21,-2.24,-0.84
2/5/2025 2:03,4.05,-2,26.03,-0.0244,-0.0239,1.0336,0.07,-2.45,-0.84
2/5/2025 2:03,4.09,-4,26.05,-0.022,-0.0249,1.0346,0.35,-2.38,-0.84
2/5/2025 2:03,4.07,10,26.04,-0.0224,-0.021,1.0346,0.42,-2.38,-0.91
2/5/2025 2:03,4.08,6,26.05,-0.0195,-0.0239,1.0346,0.21,-2.31,-0.77
2/5/2025 2:03,4.06,4,26.02,-0.0195,-0.021,1.0365,-0.14,-2.31,-0.84
2/5/2025 2:03,4.08,3,26.02,-0.0224,-0.0234,1.0331,0,-2.17,-0.98
2/5/2025 2:03,4.08,6,26.02,-0.0229,-0.0254,1.0365,0.07,-2.38,-0.98
2/5/2025 2:03,4.07,3,26.07,-0.0166,-0.0264,1.0375,0.21,-2.31,-0.91
2/5/2025 2:03,4.06,-3,26.02,-0.0205,-0.021,1.0341,0.07,-2.31,-0.84
2/5/2025 2:03,4.07,6,26.09,-0.022,-0.0249,1.035,0.21,-2.38,-0.7
2/5/2025 2:03,4.05,10,26.08,-0.0229,-0.0215,1.0346,0.28,-2.24,-0.77
2/5/2025 2:03,4.07,1,26.04,-0.0205,-0.0239,1.0355,0.28,-2.31,-0.77
2/5/2025 2:03,4.06,4,26,-0.0215,-0.0234,1.0346,0,-2.31,-0.98
2/5/2025 2:03,4.07,-4,26.05,-0.0234,-0.022,1.0341,0.21,-2.45,-0.84
2/5/2025 2:04,4.11,-5,26.09,-0.0215,-0.0249,1.0346,-0.07,-2.31,-0.91
2/5/2025 2:04,4.05,9,26.03,-0.0234,-0.0224,1.0355,0,-2.31,-0.91
2/5/2025 2:04,4.05,-10,26.11,-0.0229,-0.0244,1.035,0.07,-2.24,-0.98
2/5/2025 2:04,4.1,5,26.07,-0.0239,-0.0239,1.036,0,-2.38,-0.63
2/5/2025 2:04,4.05,-2,26.04,-0.0215,-0.0234,1.0341,0.21,-2.31,-0.91
2/5/2025 2:04,4.07,7,26.07,-0.0249,-0.022,1.036,0.28,-2.52,-0.84
2/5/2025 2:04,4.1,0,26.1,-0.0195,-0.022,1.0346,0.28,-2.31,-0.7
2/5/2025 2:04,4.05,-17,26.09,-0.0215,-0.022,1.035,0.21,-2.38,-0.91
2/5/2025 2:04,4.1,-8,26.08,-0.0195,-0.0234,1.035,0.14,-2.52,-0.63
2/5/2025 2:04,4.06,-7,26.05,-0.0215,-0.0244,1.035,0.28,-2.45,-0.91
2/5/2025 2:04,4.07,16,26.09,-0.022,-0.0239,1.0336,0.42,-2.52,-0.7
2/5/2025 2:04,4.1,7,26.05,-0.021,-0.0215,1.0341,0.07,-2.31,-0.7
2/5/2025 2:04,4.08,8,26.11,-0.021,-0.0239,1.0336,0.21,-2.38,-0.91
2/5/2025 2:04,4.08,17,26.04,-0.0205,-0.0249,1.0355,0.42,-2.38,-0.98
2/5/2025 2:04,4.05,-1,26.09,-0.0224,-0.0249,1.0346,0,-2.31,-0.84
2/5/2025 2:04,4.09,-7,26.07,-0.0185,-0.0234,1.0331,0.07,-2.31,-0.91
2/5/2025 2:04,4.09,-1,26.09,-0.021,-0.0244,1.0336,0.14,-2.38,-0.77
2/5/2025 2:04,4.09,5,26.09,-0.0205,-0.0234,1.0346,0.28,-2.45,-0.84
2/5/2025 2:04,4.08,-6,26.08,-0.0224,-0.0239,1.0341,0.21,-2.38,-0.84
